,folder_name,Scan_ID,percent_vertical_cover,num_trees,understory_count,midstory_count,overstory_count,understory_percent,midstory_percent,overstory_percent,basal_area_m,max_canopy_height_m
26,04_30_2025,04_30_2025_Setup33,0.731965174,6,1981215,811223,1871087,0.424832074,0.173950606,0.40121732,14.88682946,26.943
27,04_30_2025,04_30_2025_Setup34,0.684070078,3,1927909,450229,911387,0.586075193,0.136867481,0.277057326,13.94571659,27.321
28,04_30_2025,04_30_2025_Setup35,0.382780847,3,1986489,218030,367889,0.772229366,0.084757161,0.143013472,9.307899257,31.522
29,04_30_2025,04_30_2025_Setup36,0.414373898,4,2914872,269956,979607,0.69994417,0.06482416,0.23523167,5.799745606,24.69
30,04_30_2025,04_30_2025_Setup37,0.432030624,2,2802684,49744,438847,0.851549627,0.0151139,0.133336473,11.17643478,29.203
31,04_30_2025,04_30_2025_Setup38,0.328176112,2,2136915,55886,908685,0.688997145,0.018019104,0.29298375,9.843230199,29.1
32,04_30_2025,04_30_2025_Setup39,0.683547603,4,2519733,77818,911657,0.718034668,0.022175374,0.259789958,16.21665756,29.487
33,04_30_2025,04_30_2025_Setup4,0.695659955,5,2102097,170605,1521396,0.554043939,0.044965892,0.400990169,35.73527861,31.524
34,04_30_2025,04_30_2025_Setup40,0.334414162,3,1547486,488400,604723,0.586033752,0.184957334,0.229008914,4.389191921,27.373
35,04_30_2025,04_30_2025_Setup5,0.397052719,4,2407743,258355,437991,0.775668159,0.083230539,0.141101302,13.31129306,29.057
36,04_30_2025,04_30_2025_Setup6,0.699166924,5,1208571,510528,1681220,0.355428711,0.150141207,0.494430081,11.75014902,30.271
37,04_30_2025,04_30_2025_Setup7,0.814828649,2,1662913,1128183,1643998,0.374944251,0.254376345,0.370679404,0.442709822,15.887
38,04_30_2025,04_30_2025_Setup8,0.75122399,9,1321928,567575,1655071,0.372944111,0.160125025,0.466930864,14.66473396,24.161
39,04_30_2025,04_30_2025_Setup9,0.646335265,3,1622208,125710,1173339,0.555311635,0.043032845,0.40165552,16.85947472,28.677
40,05_01_2025,05_01_2025_Setup1_scan883_05012025,0.181103082,2,759724,68750,201250,0.737793817,0.066765463,0.19544072,3.212145975,22.93
41,05_01_2025,05_01_2025_Setup2_scan869_05012025,0.260095258,1,1441052,31162,253379,0.835105381,0.01805872,0.146835899,5.076568746,27.191
42,05_01_2025,05_01_2025_Setup3_scan865_05012025,0.094571751,1,2246177,12937,143410,0.934923855,0.005384754,0.059691391,5.741178555,26.344
43,05_01_2025,05_01_2025_Setup4_scan871_05012025,0.73284265,6,1370572,464432,1692527,0.388535778,0.131659226,0.479804997,9.432182593,23.907
44,05_01_2025,05_01_2025_Setup5_scan879_05012025,0.428059969,2,966918,95235,880577,0.497710953,0.049021223,0.453267824,8.403131544,25.081
45,05_02_2025,05_02_2025_Setup1,0.055746393,0,2911844,6401,0,0.997806558,0.002193442,0,0,0
46,05_02_2025,05_02_2025_Setup10,0.316077787,2,3281077,551823,266478,0.800384107,0.134611397,0.065004496,10.41571602,33.606
47,05_02_2025,05_02_2025_Setup11,0.46572656,2,1987605,75159,1061821,0.636118076,0.024054074,0.339827849,10.1915003,33.044
48,05_02_2025,05_02_2025_Setup12,0.357980255,1,2873347,243110,1218112,0.662891051,0.056086314,0.281022635,3.417932086,18.336
49,05_02_2025,05_02_2025_Setup2,0.000358616,0,3248453,0,1,0.999999692,0,3.08E-07,0,0
50,05_02_2025,05_02_2025_Setup3,0.000728597,0,2607026,17,0,0.999993479,6.52E-06,0,0,0
51,05_02_2025,05_02_2025_Setup4,0.542728792,2,3152956,57837,414197,0.869783365,0.015955078,0.114261557,13.86546895,34.614
52,05_02_2025,05_02_2025_Setup5,0.11652436,0,2336896,25216,5283,0.987117063,0.01065137,0.002231567,0,0
53,05_02_2025,05_02_2025_Setup6,0.438633377,0,2856229,225171,873560,0.722189099,0.056933825,0.220877076,0,#NAME?
54,05_02_2025,05_02_2025_Setup7,0.026370004,0,3437423,1531,8017,0.997230032,0.000444158,0.00232581,0,0
55,05_02_2025,05_02_2025_Setup8,0.133789162,1,3277966,202857,420488,0.840221659,0.051997136,0.107781205,2.634471983,8.053
56,05_02_2025,05_02_2025_Setup9,0.07127031,1,3111657,29171,17250,0.98530087,0.009236947,0.005462183,3.10781339,15.205
57,05_03_2025,05_03_2025_Setup1,0.661107057,2,2115156,185935,1313596,0.585156059,0.051438755,0.363405186,6.585658832,21.631
58,05_03_2025,05_03_2025_Setup10,0.546402976,4,2318258,97308,790284,0.723133646,0.03035326,0.246513093,22.11018924,31.389
59,05_03_2025,05_03_2025_Setup11,0.355454004,0,2605524,685690,438472,0.698590712,0.183846576,0.117562712,0,0
60,05_03_2025,05_03_2025_Setup12,0.412157992,0,2959125,635418,366446,0.74706721,0.160419027,0.092513764,0,#NAME?
61,05_03_2025,05_03_2025_Setup13,0.599561738,0,2726167,1038373,715405,0.60852689,0.231782533,0.159690577,0,0
62,05_03_2025,05_03_2025_Setup14,0.551720347,1,2844307,719843,866868,0.641908248,0.162455445,0.195636308,5.220870832,23.565
63,05_03_2025,05_03_2025_Setup15,0.324557878,1,3746213,58260,384862,0.894226172,0.013906742,0.091867086,6.309494329,30.925
64,05_03_2025,05_03_2025_Setup16,0.514156508,1,3492641,630700,592718,0.74058467,0.133734544,0.125680786,4.284499454,17.947
65,05_03_2025,05_03_2025_Setup17,0.514310919,2,3499064,639077,597324,0.738906105,0.13495549,0.126138405,6.154316389,17.701
66,05_03_2025,05_03_2025_Setup18,0.446234716,0,1601947,2349755,364741,0.371126643,0.544372994,0.084500363,0,#NAME?
67,05_03_2025,05_03_2025_Setup19,0.523425179,2,3285488,153488,534371,0.82688172,0.038629397,0.134488883,0.961767706,17.93
68,05_03_2025,05_03_2025_Setup2,0.049528615,0,4399162,11816,3295,0.996576786,0.002676771,0.000746442,0,0
69,05_03_2025,05_03_2025_Setup20,0.537700084,2,2771534,83116,982758,0.722241159,0.021659412,0.25609943,13.00094761,32.097
70,05_03_2025,05_03_2025_Setup21,0.157835052,0,3495346,306189,56526,0.905985157,0.079363442,0.014651401,0,#NAME?
